contract,CommercialUse,Distribution,Modification,PatentGrant,PrivateUse,DisclosureSource,Notice,SaaSIsDistribution,SameLicense,StateChanges,PatentNonGrant,Liability,Trademark,Warranty
Apache2,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Excluded,Included,Excluded,Included,Included,Included
BSD2,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included
BSD3,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included
GPL2Only,Included,Included,Included,Excluded,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included
GPL2OrLater,Included,Included,Included,Excluded,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included
GPL3Only,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included
GPL3OrLater,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included
LGPL2Only,Included,Included,Included,Excluded,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included
LGPL2OrLater,Included,Included,Included,Excluded,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included
LGPL21Only,Included,Included,Included,Excluded,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included
LGPL21OrLater,Included,Included,Included,Excluded,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included
LGPL3Only,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included
LGPL3OrLater,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included
Owner,Included,Included,Included,Included,Included,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ZLIB,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Included,Excluded,Included,Excluded,Included
