contract,CommercialUse,Distribution,Modification,PatentGrant,PrivateUse,DisclosureSource,Notice,SaaSIsDistribution,SameLicense,StateChanges,PatentNonGrant,Liability,Trademark,Warranty,NoRedistribution
AFL-2.1,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Excluded,Included,Excluded,Included,Included,Included,Excluded
AGPL,Included,Included,Included,Unspecified,Included,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded
AGPL-3.0-only,Included,Included,Included,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded
AGPL-3.0-or-later,Included,Included,Included,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded
Apache,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
Apache-1.1,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
Apache-2.0,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Excluded,Included,Excluded,Included,Included,Included,Excluded
Artistic,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
Artistic-1.0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
Artistic-2.0,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Excluded,Included,Excluded,Included,Included,Included,Excluded
Beerware,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
BSD,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
BSD-1-Clause,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
BSD-2-Clause,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
BSD-3-Clause,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
BSD-4-Clause,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
BSD-5-Clause,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
BSL,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
BSL-1.0,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
CC0,Included,Included,Included,Excluded,Included,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Included,Included,Included,Included,Unspecified
CC0-1.0,Included,Included,Included,Excluded,Included,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Included,Included,Included,Included,Unspecified
CC-BY-3.0,Included,Included,Included,Excluded,Included,Unspecified,Included,Unspecified,Excluded,Included,Included,Included,Included,Included,Unspecified
CC-BY-3.0-US,Included,Included,Included,Excluded,Included,Unspecified,Included,Unspecified,Excluded,Included,Included,Included,Included,Included,Unspecified
CC-BY-SA-2.0,Included,Included,Included,Excluded,Included,Unspecified,Included,Unspecified,Included,Included,Included,Included,Included,Included,Unspecified
CC-BY-SA-2.0-IT,Included,Included,Included,Excluded,Included,Unspecified,Included,Unspecified,Included,Included,Included,Included,Included,Included,Unspecified
CC-BY-SA-3.0,Included,Included,Included,Excluded,Included,Unspecified,Included,Unspecified,Included,Included,Included,Included,Included,Included,Unspecified
CC-BY-SA-3.0-US,Included,Included,Included,Excluded,Included,Unspecified,Included,Unspecified,Included,Included,Included,Included,Included,Included,Unspecified
CDDL,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
