contract,CommercialUse,Distribution,Modification,PatentGrant,PrivateUse,DisclosureSource,Notice,SaaSIsDistribution,SameLicense,StateChanges,PatentNonGrant,Liability,Trademark,Warranty,NoRedistribution
AFL-2.1,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Excluded,Included,Excluded,Included,Included,Included,Excluded
AGPL,Included,Included,Included,Unspecified,Included,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded
AGPL-3.0-only,Included,Included,Included,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded
AGPL-3.0-or-later,Included,Included,Included,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded
Apache-2.0,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Excluded,Included,Excluded,Included,Included,Included,Excluded
Artistic-2.0,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Excluded,Included,Excluded,Included,Included,Included,Excluded
BSD-2-Clause,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
BSD-3-Clause,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
BSD-4-Clause,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
BSL,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
BSL-1.0,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
CC0,Included,Included,Included,Excluded,Included,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Included,Included,Included,Included,Excluded
CC0-1.0,Included,Included,Included,Excluded,Included,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Included,Included,Included,Included,Excluded
CC-BY-3.0,Included,Included,Included,Excluded,Included,Unspecified,Included,Unspecified,Excluded,Included,Included,Included,Included,Included,Excluded
CC-BY-3.0-US,Included,Included,Included,Excluded,Included,Unspecified,Included,Unspecified,Excluded,Included,Included,Included,Included,Included,Excluded
CC-BY-SA-2.0,Included,Included,Included,Excluded,Included,Unspecified,Included,Unspecified,Included,Included,Included,Included,Included,Included,Excluded
CC-BY-SA-2.0-IT,Included,Included,Included,Excluded,Included,Unspecified,Included,Unspecified,Included,Included,Included,Included,Included,Included,Excluded
CC-BY-SA-3.0,Included,Included,Included,Excluded,Included,Unspecified,Included,Unspecified,Included,Included,Included,Included,Included,Included,Excluded
CC-BY-SA-3.0-US,Included,Included,Included,Excluded,Included,Unspecified,Included,Unspecified,Included,Included,Included,Included,Included,Included,Excluded
EPL-1.0,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Excluded,Included,Excluded,Included,Excluded
EPL-2.0,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Excluded,Included,Excluded,Included,Excluded
GPL,Included,Included,Included,Unspecified,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded
GPL-2.0-only,Included,Included,Included,Excluded,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded
GPL-2.0-or-later,Included,Included,Included,Excluded,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded
GPL-3.0-only,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded
GPL-3.0-or-later,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded
ISC,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
LGPL,Included,Included,Included,Unspecified,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded
LGPL-2.0-only,Included,Included,Included,Excluded,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded
LGPL-2.0-or-later,Included,Included,Included,Excluded,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded
LGPL-2.1-only,Included,Included,Included,Excluded,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded
LGPL-2.1-or-later,Included,Included,Included,Excluded,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded
